ID,SOURCE,BLM ID,USGS ID,ALASKA_QUAD_NAMES,API,WELL NAME,LAT,LONG,FIELD,STATE,COUNTY,HE,CO2,H2,N2,H2S,AR,O2,C1,C2,C3,N-C4,I-C4,N-C5,I-C5,C6+,BTU,FORMATION,AGE,DEPTH,FINAL_DRILLING_DATE,FINAL_SAMPLING_DATE,PUBLICATION DATE,SAMPLE DATE BEFORE COMPLETION
35075,BLM,237,,,,EAST PASTURE,,,RANCH,TEXAS,WINKLER,,0.4,,81.1,,,15.1,1.2,2.1,,,,,,,50,,,,,2/12/1920,,
35076,BLM,238,,,,LATHAM BROS. NO. 1,36.5902876,-95.8393615,WOODY,OKLAHOMA,WASHINGTON,0.1,0.2,,7.4,,,2.6,83,6.7,,,,,,,961,BARTLESVILLE,PENNSYLVANIAN,1081,00/00/1919,5/4/1920,,
35077,BLM,240,,,,LATHAM BROS. NO. 4,36.5902521,-95.8213678,WOODY,OKLAHOMA,WASHINGTON,,0.2,,8.9,,,0.5,84.3,6.1,,,,,,,963,BARTLESVILLE,PENNSYLVANIAN,1062,03/00/1920,5/4/1920,,
35078,BLM,242,,,,HUB-WYOMING NO. 2,36.5613896,-95.8392316,WOODY,OKLAHOMA,WASHINGTON,0.08,0.1,,4.9,,,0.5,86.5,7.8,,,,,,,1016,BARTLESVILLE,PENNSYLVANIAN,1056,00/00/1916,5/4/1920,,
35079,BLM,243,,,,RIGGS NO. 2,36.3003688,-95.6417849,CLAREMORE,OKLAHOMA,ROGERS,0.05,,,4.1,,,0.7,95.1,,,,,,,,963,BARTLESVILLE,PENNSYLVANIAN,700,08/00/1919,5/6/1920,,
35080,BLM,244,,,,CONNELLY NO. 1,36.3146928,-95.5701111,CLAREMORE,OKLAHOMA,ROGERS,0.1,0.1,,3.2,,,0.6,96.9,,,,,,,,982,BARTLESVILLE,PENNSYLVANIAN,700,02/00/1920,5/6/1920,,
35081,BLM,247,,,,SMITH NO. 2,36.1843733,-95.7352672,CATOOSA,OKLAHOMA,ROGERS,0.28,,,18,,,0.5,79.3,1.8,,,,,,,836,BARTLESVILLE,PENNSYLVANIAN,960,00/00/1919,5/7/1920,,
35082,BLM,248,,,,BIBLE NO. 1,36.5031265,-95.6059379,CHELSEA,OKLAHOMA,ROGERS,0.27,,,1,,,0.4,98.3,,,,,,,,996,,PENNSYLVANIAN,800,00/00/1918,5/8/1920,,
35083,BLM,249,,,,FRENCH NO. 1,36.5032487,-95.5880419,CHELSEA,OKLAHOMA,ROGERS,0.21,0.3,,3.7,,,0.5,95.2,,,,,,,,964,,PENNSYLVANIAN,800,00/00/1919,5/8/1920,,
35084,BLM,250,,,,DAWSON NO. 4,36.5031001,-95.6238126,CHELSEA,OKLAHOMA,ROGERS,0.24,0.3,,0.5,,,0.6,98.3,,,,,,,,996,,PENNSYLVANIAN,800,00/00/1915,5/8/1920,,
35085,BLM,252,,,,NO. 1 GUTHRIE,32.7059454,-92.0401289,OUACHITA,LOUISIANA,OUACHITA,0.07,0.2,,2.8,,,0.3,96.6,,,,,,,,979,,,2115,02/00/1920,5/6/1920,,
35086,BLM,253,,,3501500164,WADE NO. 1,34.93462,-98.11941,CEMENT,OKLAHOMA,CADDO,,0.2,,1.5,,,0.5,93.6,4.2,,,,,,,1023,MEDRANO,PENNSYLVANIAN,2270,07/00/1918,3/10/1920,,
35087,BLM,254,,,,MESSER NO. 1,,,FOYIL,OKLAHOMA,ROGERS,0.07,0.1,,0.1,,,0.8,99,,,,,,,,1003,,PENNSYLVANIAN,640,08/00/1919,5/8/1920,,
35088,BLM,260,,,4115100127,PEMBERTON NO. 10,36.322972,-84.635611,GLENMARY,TENNESSEE,SCOTT,,0.1,,3.1,,,0.7,63.1,33,,,,,,,1231,ST. LOUIS,MISSISSIPPIAN,1285,01/00/1920,5/10/1920,,
35089,BLM,261,,,4115100117,RUGBY LAND NO. 1,36.331694,-84.625694,GLENMARY,TENNESSEE,SCOTT,0.35,0.1,,12.6,,,0.8,60.8,25.3,,,,,,,1069,ST. LOUIS,MISSISSIPPIAN,1260,06/00/1919,5/10/1920,,
35090,BLM,262,,,4115100132,GRIFFITH NO. 1,36.319139,-84.650167,GLENMARY,TENNESSEE,SCOTT,0.36,0.2,,3.2,,,0.7,63.8,31.7,,,,,,,1214,ST. LOUIS,MISSISSIPPIAN,1235,08/00/1917,5/10/1920,,
35091,BLM,263,,,,BAYLESS NO. 1,36.4306054,-95.6417611,FOYIL,OKLAHOMA,ROGERS,0.09,0.3,,2.3,,,0.3,94.2,2.8,,,,,,,1004,,PENNSYLVANIAN,806,2/1/1920,5/10/1920,,
35092,BLM,264,,,,MILLARD NO. 1,36.4449873,-95.4445789,FOYIL,OKLAHOMA,ROGERS,0.12,,,,,,,,,,,,,,,,,PENNSYLVANIAN,740,,5/10/1920,,
35093,BLM,265,,,,,,,,COLORADO,MESA,,2.7,,8,,,1.7,74.1,13.5,,,,,,,993,,,,,,,
35094,BLM,266,,,,HUNT NO. 1,,,SIMPSON S,KENTUCKY,SIMPSON,,0.7,,3.4,,,0.7,95.3,,,,,,,,965,,,560,01/00/1920,5/17/1920,,
35095,BLM,268,,,,OKLA-IOWA NO. 6,35.7186855,-95.6865207,COLE DISTRICT,OKLAHOMA,MUSKOGEE,0.41,0.1,,2.3,,,0.5,83.9,12.7,,,,,,,1077,DUTCHER,PENNSYLVANIAN,1470,04/00/1920,5/18/1920,,
35096,BLM,269,,,3510104396,HOWARD NO. 4,35.7500953,-95.6452429,YAHOLA DISTRICT,OKLAHOMA,MUSKOGEE,0.23,0.3,,8.4,,,2.7,88.4,,,,,,,,895,,PENNSYLVANIAN,690,12/00/1916,5/18/1920,,
35344,BLM,68,,,,BIG WICHITA,,,EXTENSION NE,TEXAS,CLAY,0.23,,,,,,,,,,,,,,,,TEXHOMA,TERT,913,,2/24/1920,,
35345,BLM,69,,,,MARTIN NO. 11,33.9230,-98.2950,PETROLIA,TEXAS,CLAY,1.24,0.1,,31.3,,,0.5,64.9,1.9,,,,,,,691,CISCO,PENNSYLVANIAN,1713,,2/25/1920,,
35346,BLM,70,,,,WARD NO. 1,32.4555,-98.9595,CISCO,TEXAS,EASTLAND,0.19,0.3,,12.6,,,0.7,71.7,14.4,,,,,,,984,,,3326,12/7/1919,2/23/1920,1953,
35347,BLM,71,,,42059090160000,GRANT NO. 2,32.2900,-99.2365,CALLAHAN,TEXAS,CALLAHAN,,0.8,,3,,,0.7,95.5,,,,,,,,967,CISCO,PENNSYLVANIAN,621,1/29/1920,2/24/1920,,
35348,BLM,72,,,,HOLCOMB NO. 2,,,EASTLAND,TEXAS,EASTLAND,,0.4,,9.3,,,0.7,89.5,,,,,,,,907,STRAWN,PENNSYLVANIAN,1580,8/11/1919,2/25/1920,1951,
35349,BLM,73,,,,NASH NO. 3,,,RANGER,TEXAS,EASTLAND,,0.2,,4.6,,,0.4,71,23.8,,,,,,,1146,ELLENBURGER,ORDOVICIAN,3826,9/20/1919,2/25/1920,1951,
35350,BLM,74,,,,G. E. NORWOOD NO. 1,32.4396,-98.7552,RANGER,TEXAS,EASTLAND,,0.1,,6,,,0.5,58.2,35.1,,,,,,,1219,GAS SAND,,3398,2/23/1920,2/25/1920,1951,
35351,BLM,75,,,,MARTIN NO. 11,33.9230,-98.2950,PETROLIA,TEXAS,CLAY,1.14,0.1,,32.4,,,0.4,64.4,1.4,,,,,,,677,CISCO,PENNSYLVANIAN,1683,2/18/1920,2/25/1920,,
35352,BLM,76,,,,,,,PAINTSVILLE,KENTUCKY,JOHNSON,0.03,0.2,,15.3,,,0.3,82.5,1.6,,,,,,,864,WEIR,MISSISSIPPIAN,768,02/00/1919,01/00/1920,,
35353,BLM,77,,,,NO. 44,36.7740843,-96.3770616,MYERS NE,OKLAHOMA,OSAGE,,0.1,,5,,,0.4,94.6,,,,,,,,958,,,1273,01/00/1918,2/6/1920,,
35354,BLM,78,,,,MARTIN NO. 9,33.9995,-98.2070,PETROLIA,TEXAS,CLAY,1.03,,,,,,,,,,,,,,,,,,1740,11/3/1919,11/3/1919,,
35355,BLM,79,,,36057000020000,,45.4085931,-123.7765397,,OREGON,TILLAMOOK,0.24,,,97.4,,,,2.4,,,,,,,,24,,,700,00/00/1916,9/9/1919,1951,
35356,BLM,80,,,,NO. 15,36.7452225,-96.3950852,MYERS,OKLAHOMA,OSAGE,1.04,0.3,,8.2,,,,90.5,,,,,,,,917,,,1175,00/00/1917,2/6/1920,,
35357,BLM,81,,,35113342140000,NO. 6,36.8029084,-96.4741263,PEARSONIA,OKLAHOMA,OSAGE,0.62,0.2,,39,,,2,58.1,,,,,,,,589,,PENNSYLVANIAN,806,00/00/1917,2/6/1920,1951,
35358,BLM,82,,,,NO. 253,36.8186368,-96.4837711,PEARSONIA,OKLAHOMA,OSAGE,0.7,,,,,,,,,,,,,,,,,PENNSYLVANIAN,870,00/00/1917,2/6/1920,,
35359,BLM,83,,,,NO. 14,36.8184955,-96.4659382,PEARSONIA,OKLAHOMA,OSAGE,0.5,,,25.3,,,,73,1.1,,,,,,,759,,PENNSYLVANIAN,1040,00/00/1918,2/6/1920,,
35360,BLM,84,,,,GOSS NO. 1,,,SIPE SPRINGS,TEXAS,COMANCHE,0.07,,,,,,,,,,,,,,,,MARBLE FALLS,PENNSYLVANIAN,2780,3/17/1919,2/27/1920,,
35097,BLM,270,,,3510102124,SUMMERS NO. 2,35.74773,-95.61544,YAHOLA DISTRICT,OKLAHOMA,MUSKOGEE,0.29,0.3,,2.6,,,0.5,71.7,24.6,,,,,,,1167,,PENNSYLVANIAN,1700,00/00/1913,5/18/1920,,
35098,BLM,271,,,,DAY NO. 3,36.0099100,-95.4311572,WAGONER DISTRICT NW,OKLAHOMA,WAGONER,0.2,0.2,,1.4,,,0.5,97.7,,,,,,,,990,,PENNSYLVANIAN,550,00/00/1919,5/19/1920,,
35099,BLM,272,,,,ARROW NO. 2,36.0099045,-95.4133591,WAGONER DISTRICT NW,OKLAHOMA,WAGONER,0.23,0.2,,3.9,,,0.4,95.2,,,,,,,,964,,PENNSYLVANIAN,550,10/00/1919,5/19/1920,,
35100,BLM,273,,,,ARROW NO. 1,36.0099045,-95.4133591,WAGONER DISTRICT NW,OKLAHOMA,WAGONER,0.2,0.3,,1.7,,,0.6,97.2,,,,,,,,985,,PENNSYLVANIAN,550,10/00/1919,5/19/1920,,
35101,BLM,275,,,,E. COX NO. 8,35.4266643,-94.2139929,KIBLER,ARKANSAS,SEBASTIAN,0.17,0.1,,0.6,,,0.9,98.2,,,,,,,,995,,,,00/00/1916,5/25/1920,,
35102,BLM,276,,,03033000240000,MONTGOMERY NO. 7,35.4120670,-94.2144948,KIBLER,ARKANSAS,SEBASTIAN,0.21,,,0.5,,,0.5,98.8,,,,,,,,1001,,,,00/00/1916,5/25/1920,,
35103,BLM,277,,,,BUSHMEIR NO. 24,35.3831892,-94.2329994,WILLIAMS,ARKANSAS,SEBASTIAN,0.15,0.3,,0.7,,,0.8,98,,,,,,,,993,,,2300,4/2/1920,5/25/1920,,
35104,BLM,278,,,,GREGG NO. 20,35.3978681,-94.2327299,WILLIAMS,ARKANSAS,SEBASTIAN,0.15,0.3,,2.1,,,0.4,95.3,1.7,,,,,,,996,,,,05/00/1919,5/25/1920,,
35105,BLM,279,,,,MILLER NO. 1,,,DAVENPORT,KENTUCKY,WARREN,0.21,,,14.2,,,0.7,68.7,16.2,,,,,,,986,,,1001,11/00/1919,5/18/1920,,
35106,BLM,280,,,,HOWELL NO. 1,,,TURLEY DISTRICT,KENTUCKY,WARREN,0.18,,,9.3,,,0.5,68.3,21.7,,,,,,,1081,,,1080,05/00/1919,5/18/1920,,
35107,BLM,281,,,,COLLINS NO. 1,,,OIL SPRINGS,KENTUCKY,MAGOFFIN,0.27,,,,,,,,,,,,,,,,,,900,,5/21/1920,,
35108,BLM,282,,,,BAILEY NO. 1,,,OIL SPRINGS,KENTUCKY,MAGOFFIN,0.29,,,,,,,,,,,,,,,,,,875,,5/21/1920,,
35109,BLM,283,,,,N. E. ESTEP NO. 1,,,BEAVER CREEK,KENTUCKY,FLOYD,0.13,0.2,,0.4,,,0.7,77.5,21.1,,,,,,,1163,,,1646,11/00/1918,5/24/1920,,
35110,BLM,284,,,,LECK MARTIN NO. 1,,,BEAVER CREEK,KENTUCKY,FLOYD,,0.4,,1.6,,,0.6,77.7,19.6,,,,,,,1138,,,1688,00/00/1902,5/24/1920,,
35111,BLM,285,,,,ZELLZ ESTEP NO. 1,,,BEAVER CREEK,KENTUCKY,FLOYD,0.08,,,6.7,,,0.9,69.2,23.1,,,,,,,1115,,,2135,05/00/1919,5/24/1920,,
35112,BLM,286,,,,T. A. MARTIN NO. 1,,,BEAVER CREEK,KENTUCKY,FLOYD,,0.2,,2.2,,,0.8,76.5,20.2,,,,,,,1137,,,2190,01/00/1919,5/24/1920,,
35113,BLM,288,,,,NO. 67,,,TRIPLE STATE,KENTUCKY,MARTIN,0.08,,,1.1,,,0.4,72.2,26.2,,,,,,,1201,BIG INJUN,MISSISSIPPIAN,1265,00/00/1998,5/25/1920,,YES
35114,BLM,289,,,,NO. 104,,,TRIPLE STATE,KENTUCKY,MARTIN,0.16,0.2,,0.9,,,0.5,76,22.1,,,,,,,1166,BIG INJUN,MISSISSIPPIAN,1370,11/00/1905,5/25/1920,,
35115,BLM,290,,,47059300300000,NO. 531,37.8487300,-82.3495800,TRIPLE STATE,WEST VIRGINIA,MINGO,0.12,0.2,,1,,,0.3,75.3,23,,,,,,,1175,,,2303,00/00/1916,5/25/1920,1951,
35116,BLM,293,,,,WILLIAMSON NO. 4,,,BEATTYVILLE,KENTUCKY,LEE,,0.2,,,,,11.7,,,,,,,,,,,,1220,05/00/1920,5/27/1920,,
35117,BLM,294,,,,CLOVERPORT NO. 1,,,CLOVERPORT,KENTUCKY,BRECKINRIDGE,0.43,,,,,,,,,,,,,,,,,,892,00/00/1990,5/29/1920,,YES
35118,BLM,295,,,,GARDNER NO. 2,,,MASSARD,ARKANSAS,SEBASTIAN,0.17,,,0.3,,,1.6,97.9,,,,,,,,992,,,2358,00/00/1907,5/26/1920,,
35119,BLM,306,,,,QUINTON RELIEF NO. 2,35.0947007,-95.3581206,QUINTON DISTRICT,OKLAHOMA,PITTSBURG,0.04,0.3,,0.8,,,0.5,94.2,4.1,,,,,,,1028,QUINTON,PENNSYLVANIAN,1630,,6/1/1920,,
35120,BLM,307,,,,QUINTON NO. 6,35.0719384,-95.4033347,QUINTON DISTRICT,OKLAHOMA,PITTSBURG,,0.3,,16.3,,,1.6,62.8,18.9,,,,,,,975,QUINTON,PENNSYLVANIAN,1500,,6/1/1920,,
35121,BLM,309,,,,PEDEN NO. 1,,,TEMPLE HILL,KENTUCKY,BARREN,0.25,,,,,,,,,,,,,,,,,,360,10/00/1919,6/2/1920,,
35122,BLM,311,,,,W. L. PORTER NO. 1,,,GLASGOW,KENTUCKY,BARREN,0.27,,,,,,,,,,,,,,,,,,485,07/00/1919,6/2/1920,,
35123,BLM,312,,,,FRANCIS NO. 1,,,OSKAMP POOL,KENTUCKY,BARREN,0.43,0.2,,8.5,,,0.3,73.7,16.8,,,,,,,1048,,,573,01/00/1919,6/2/1920,,
35124,BLM,313,,,,H. C. HUNTER NO. 1,,,GRAYSON COUNTY,KENTUCKY,GRAYSON,0.4,0.5,,25.7,,,1.1,64.4,8,,,,,,,796,,,970,09/00/1916,6/2/1920,,
35125,BLM,314,,,,W. S. PROCTOR NO. 1,,,GRAYSON COUNTY,KENTUCKY,GRAYSON,0.43,0.1,,15,,,0.5,76.2,7.7,,,,,,,910,,,950,06/00/1919,6/3/1920,,
35126,BLM,315,,,,W. SHREWSBURY NO. 1,,,CENTRAL CITY,KENTUCKY,MUHLENBERG,0.12,,,,,,,,,,,,,,,,,,480,7/1/1914,6/3/1920,,
35127,BLM,316,,,,NO. 1,,,BREATHITT,KENTUCKY,BREATHITT,0.11,,,4.7,,,,81.6,13.4,,,,,,,1067,IRVINE,MISSISSIPPIAN,1460,05/00/1920,5/31/1920,,
35128,BLM,318,,,,S. C. GISH,,,CENTRAL CITY TOWN SITE,KENTUCKY,MUHLENBERG,,0.3,,,,,8.8,,,,,,,,,,,,461,10/00/1917,6/3/1920,,
35129,BLM,319,,,,G. W. HOWELL NO. 1,,,CAMPBELLVILLE,KENTUCKY,GREEN,0.07,,,,,,,,,,,,,,,,IRVINE,MISSISSIPPIAN,210,01/00/1919,6/4/1920,,
35130,BLM,320,,,,BAILEY NO. 1,,,CAMPBELLVILLE,KENTUCKY,TAYLOR,0.12,0.3,,12.5,,,1.8,75.6,9.7,,,,,,,940,IRVINE,MISSISSIPPIAN,400,06/00/1918,6/4/1920,,
35131,BLM,321,,,,NO. 56,37.978052,-86.262772,BARTHS,KENTUCKY,MEADE,,1.1,,6.9,,,1,91.1,,,,,,,,923,,DEVONIAN,368,00/00/1990,6/5/1920,1951,YES
35132,BLM,324,,,3509100988,LIZZIE STAND NO. 1,35.4338593,-95.832446,COALTON,OKLAHOMA,MCINTOSH,0.12,0.9,,2.7,,,0.4,81.7,14.1,,,,,,,1080,,,1440,05/00/1918,6/3/1920,,
35133,BLM,326,,,,BARNETT NO. 1,35.5442,-96.1321,MORGAN,OKLAHOMA,OKFUSKEE,0.1,0.3,,0.6,,,0.3,88.3,10.3,,,,,,,1079,,,1840,01/00/1920,6/3/1920,1951,
